size,operations,repeats,time_sec,time_median_sec,time_mean_sec,time_min_sec,time_std_sec,max_abs_error
200,16000000,3,0.004341,0.004341,0.004347333333333334,0.004307,4.384442191811114e-05,1.4073492371480256e-07
400,128000000,3,0.043661,0.043661,0.043738,0.043332,0.00044947413718700297,2.08733171191966e-07
800,1024000000,3,0.418976,0.418976,0.41910633333333336,0.418726,0.0004595762541008242,3.395439032161107e-07
1200,3456000000,3,1.484108,1.484108,1.4920993333333332,1.483879,0.014040182061972458,3.7731904178883724e-07
1600,8192000000,3,3.595169,3.595169,3.60043,3.574186,0.02923175227385447,4.720996003015898e-07
2000,16000000000,3,7.28234,7.28234,7.280559333333334,7.176489,0.10319152329689364,5.737951636053396e-07
